event_id,record_id,user_id,device_id,metric_type,event_time_utc,end_time_utc,numeric_value,unit,sleep_stage,operation,source_last_modified_utc,ingestion_time_utc,schema_version
2686f118-5d7a-4cc5-97cb-2f3631e233a4,8ad8dafc-026c-48cf-9396-7c19db378278,usr_demo_001,ring_demo_001,steps,2026-07-15T23:55:00Z,,10040.0,count,,UPSERT,2026-07-15T23:55:15Z,2026-07-15T23:55:17Z,1
1a1f9749-783c-4ff6-8180-a389df5539d8,c68c6412-2167-47ba-af81-7e0675f884b4,usr_demo_001,ring_demo_001,heart_rate,2026-07-15T23:30:00Z,,62.26,bpm,,UPSERT,2026-07-15T23:30:15Z,2026-07-15T23:30:17Z,1
0c696693-b901-4831-9ac7-af771c486968,4bd00205-1cf2-424c-9a60-fcf3f1a5707a,usr_demo_001,ring_demo_001,heart_rate,2026-07-15T23:00:00Z,,64.85,bpm,,UPSERT,2026-07-15T23:00:15Z,2026-07-15T23:00:17Z,1
36e1094a-5286-4d09-ba1a-8ee70fd870e4,9881226d-97bc-43d6-916e-019aeff6689c,usr_demo_001,ring_demo_001,heart_rate,2026-07-15T22:30:00Z,,61.11,bpm,,UPSERT,2026-07-15T22:30:15Z,2026-07-15T22:30:17Z,1
04ebda4f-1cdd-4460-8c34-fb14ab78b64a,de3566f0-7a24-43d0-9144-59aa11a17e3f,usr_demo_001,ring_demo_001,heart_rate,2026-07-15T22:00:00Z,,69.69,bpm,,UPSERT,2026-07-15T22:00:15Z,2026-07-15T22:00:17Z,1
be77333c-a3bd-429f-9987-4b3c13fff52a,7a8efd0d-721a-413e-9e35-5fea210d84c2,usr_demo_001,ring_demo_001,heart_rate,2026-07-15T21:30:00Z,,79.53,bpm,,UPSERT,2026-07-15T21:30:15Z,2026-07-15T21:30:17Z,1
c7a2a6a7-e172-4947-b866-734965c7df41,0446cd1f-7df4-47ab-a2db-4ef93b9e5d0e,usr_demo_001,ring_demo_001,heart_rate,2026-07-15T21:00:00Z,,66.87,bpm,,UPSERT,2026-07-15T21:00:15Z,2026-07-15T21:00:17Z,1
365f187e-fe10-47b3-9a84-1a9f4de23065,ff19f9b2-e8b0-4049-9b14-1da89da5f8b4,usr_demo_001,ring_demo_001,heart_rate,2026-07-15T20:30:00Z,,72.98,bpm,,UPSERT,2026-07-15T20:30:15Z,2026-07-15T20:30:17Z,1
6751d972-9bb5-4e82-86d0-8c3a5a20446a,901ae3f5-a8df-48d5-ba49-cc1487fab2da,usr_demo_001,ring_demo_001,heart_rate,2026-07-15T20:10:43Z,,,bpm,,DELETE,2026-07-15T20:17:43Z,2026-07-15T20:17:45Z,1
ca7e2e40-5b86-4fa5-a138-a393390ad8c5,affb2e17-e8d6-4058-a8cb-a48e6e980640,usr_demo_001,ring_demo_001,heart_rate,2026-07-15T20:10:03Z,,,bpm,,DELETE,2026-07-15T20:17:03Z,2026-07-15T20:17:05Z,1
